id;logradouro;bairro;cidade;u_f
1;EXE;Dollar;array;transition
2;Turismo value-added Bedfordshire;Mauritânia;Congelado Investment;Intranet hacking
3;preto Berkshire;Alameda Marginal Public-key;Producer Pequeno Account;Plástico
4;Malagasy Pernambuco;monitoring copying Directives;Gostoso Rua Monitored;Bicicleta Engineer Amazonas
5;eyeballs;Santa Money harness;Web Avon;definition azul
6;Producer;Tocantins Filmes;intranet;virtual Madeira extend
7;Dollar;functionalities Salgadinhos compress;Markets deploy;Algodão compress Concreto
8;hacking Faso;Loan Goiás;Sem;aggregate Balanced primary
9;PCI Aço Jogos;Auto distributed;Aço;bypassing Carro
10;recontextualize connect;Grosso Borders Central;Licenciado;XSS SSL
