id;descricao;emissao;vencimento;valor;valor_desconto;valor_acrescimo;valor_pago;status
1;HTTP synthesizing;2021-07-07;2021-07-06;19900;94913;14219;16535;PAGO
2;Cambridgeshire Nepal;2021-07-07;2021-07-07;54173;62308;85296;32976;PAGO
3;transmitting online Eletrônicos;2021-07-07;2021-07-07;95528;75792;25833;63020;CANCELADO
4;Mobility;2021-07-07;2021-07-07;96610;86589;68480;79123;PENDENTE
5;Quiribati;2021-07-07;2021-07-07;79234;20295;77941;80674;CANCELADO
6;Salgadinhos Tocantins Filipinas;2021-07-06;2021-07-07;53578;86578;68221;12603;CANCELADO
7;Rua Loan;2021-07-07;2021-07-07;22842;77539;47203;19978;PENDENTE
8;Calças Cambridgeshire;2021-07-07;2021-07-06;39449;1378;52084;54546;PENDENTE
9;architectures;2021-07-07;2021-07-07;30372;74594;69935;1031;PAGO
10;Account Jogos;2021-07-07;2021-07-07;64700;10816;34239;58965;PAGO
